order_id,date,customer_id,region,category,channel,payment_method,quantity,revenue_pkr,cost_pkr,profit_pkr,returned
PK-2023-00085,2023-01-16,C-0237,Sindh,Groceries,Online,Card,3,36942.46,27846.49,9095.97,False
PK-2023-00136,2023-01-16,C-0646,Punjab,Home & Living,Online,Card,2,28278.19,23781.74,4496.45,False
PK-2023-00590,2023-01-17,C-0045,Balochistan,Fashion,Mobile App,Cash on Delivery,3,31905.93,27800.58,4105.34,True
PK-2023-00227,2023-01-17,C-0001,Sindh,Groceries,Mobile App,Card,1,10847.57,8894.03,1953.54,False
PK-2023-01356,2023-01-17,C-0758,Islamabad,Fashion,Online,Card,3,32281.79,27616.47,4665.32,False
PK-2023-01721,2023-01-17,C-0208,KPK,Groceries,Online,Cash on Delivery,3,31059.42,27299.88,3759.54,False
PK-2023-01205,2023-01-18,C-0561,Punjab,Sports,Mobile App,Easypaisa,1,9666.24,7772.38,1893.86,False
PK-2023-01318,2023-01-18,C-0411,Islamabad,Electronics,Wholesale,Card,3,25613.18,20982.4,4630.78,False
PK-2023-01743,2023-01-19,C-0271,KPK,Beauty & Personal Care,In-Store,Card,1,23526.87,20677.65,2849.22,False
PK-2023-00415,2023-01-20,C-0654,Punjab,Home & Living,Mobile App,Easypaisa,3,27282.89,22398.67,4884.22,False
PK-2023-00795,2023-01-20,C-0490,Punjab,Beauty & Personal Care,Mobile App,Card,3,45576.1,38586.41,6989.69,False
PK-2023-00972,2023-01-20,C-0048,Punjab,Groceries,Online,Easypaisa,4,16317.56,12905.88,3411.68,False
PK-2023-00650,2023-01-20,C-0001,Sindh,Beauty & Personal Care,Online,Easypaisa,4,56916.12,48189.46,8726.66,False
PK-2023-00768,2023-01-21,C-0212,Sindh,Groceries,Online,Easypaisa,2,24453.84,19637.76,4816.08,False
PK-2023-01729,2023-01-21,C-0632,Islamabad,Groceries,Mobile App,Card,1,10040.01,8157.59,1882.42,False
PK-2023-00069,2023-01-21,C-0650,Islamabad,Electronics,Online,Cash on Delivery,2,24128.0,18794.34,5333.66,False
PK-2023-01841,2023-01-22,C-0082,Punjab,Groceries,In-Store,JazzCash,2,28797.4,24186.33,4611.07,False
PK-2023-01433,2023-01-24,C-0182,KPK,Others,In-Store,Card,2,17470.98,14384.82,3086.16,False
PK-2023-00485,2023-01-24,C-0142,Balochistan,Beauty & Personal Care,Wholesale,JazzCash,1,10586.39,8623.81,1962.58,False
PK-2023-01161,2023-01-24,C-0552,Islamabad,Others,Mobile App,Card,2,28749.08,22719.11,6029.97,False
PK-2023-00422,2023-01-24,C-0588,Punjab,Electronics,Mobile App,Card,2,17027.86,14323.41,2704.45,False
PK-2023-00723,2023-01-24,C-0404,Punjab,Fashion,Online,Card,3,56388.09,45137.48,11250.61,True
PK-2023-01660,2023-01-24,C-0509,KPK,Electronics,Mobile App,Card,4,62078.93,48067.6,14011.33,False
PK-2023-01382,2023-01-24,C-0007,KPK,Beauty & Personal Care,Online,Card,3,37886.99,28816.89,9070.1,False
PK-2023-00633,2023-01-25,C-0469,Punjab,Sports,In-Store,Easypaisa,2,22430.9,19569.55,2861.35,False
PK-2023-00164,2023-01-25,C-0481,Sindh,Fashion,Mobile App,Cash on Delivery,3,43489.43,37337.71,6151.72,False
PK-2023-01620,2023-01-26,C-0744,Punjab,Others,In-Store,Easypaisa,4,53706.39,43634.57,10071.82,False
PK-2023-01315,2023-01-26,C-0289,Punjab,Fashion,Online,Card,3,34959.69,28665.52,6294.17,False
PK-2023-00726,2023-01-27,C-0036,Punjab,Groceries,Online,JazzCash,2,8938.11,7337.32,1600.79,False
PK-2023-01386,2023-01-27,C-0743,KPK,Groceries,In-Store,Card,1,5790.15,4794.24,995.91,False
PK-2023-00620,2023-01-27,C-0402,Sindh,Sports,Online,JazzCash,4,29764.36,24460.15,5304.22,False
PK-2023-01019,2023-01-27,C-0255,Sindh,Fashion,Online,Card,3,35466.82,29868.77,5598.05,False
PK-2023-01364,2023-01-27,C-0090,Balochistan,Home & Living,In-Store,Easypaisa,3,40612.38,32565.23,8047.15,False
PK-2023-00435,2023-01-27,C-0113,Sindh,Groceries,Mobile App,JazzCash,1,11535.19,10321.65,1213.55,False
PK-2023-00125,2023-01-28,C-0150,Islamabad,Fashion,Online,JazzCash,1,19546.25,16776.8,2769.45,False
PK-2023-01940,2023-01-28,C-0009,Balochistan,Electronics,Mobile App,Card,3,20503.01,16370.86,4132.15,False
PK-2023-00451,2023-01-28,C-0682,Balochistan,Groceries,Online,Easypaisa,2,17994.18,14545.39,3448.79,False
PK-2023-00028,2023-01-29,C-0275,KPK,Fashion,Online,Cash on Delivery,2,13593.78,10626.75,2967.03,False
PK-2023-00281,2023-01-29,C-0366,Punjab,Fashion,In-Store,Card,1,13814.19,11479.05,2335.15,False
PK-2023-01261,2023-01-29,C-0252,KPK,Electronics,In-Store,JazzCash,1,10649.84,8244.48,2405.36,True
PK-2023-00176,2023-01-30,C-0229,Sindh,Home & Living,Wholesale,Easypaisa,1,16216.51,13763.0,2453.51,False
PK-2023-01926,2023-01-30,C-0110,Punjab,Home & Living,Online,JazzCash,3,35033.23,27631.92,7401.31,False
PK-2023-00903,2023-01-30,C-0320,Punjab,Electronics,In-Store,Card,3,40699.71,34931.42,5768.29,False
PK-2023-00555,2023-01-30,C-0074,Punjab,Fashion,Online,Card,4,35389.99,29438.81,5951.18,False
PK-2023-01390,2023-01-30,C-0707,Islamabad,Electronics,Online,JazzCash,4,33387.85,28416.09,4971.76,False
PK-2023-00763,2023-01-31,C-0368,Islamabad,Electronics,Wholesale,Cash on Delivery,1,36732.2,29675.17,7057.03,False
PK-2023-01206,2023-02-01,C-0599,Punjab,Fashion,Online,Card,2,37559.49,31127.7,6431.78,True
PK-2023-00759,2023-02-01,C-0454,Punjab,Groceries,Online,Card,2,18437.84,14618.83,3819.01,False
PK-2023-01442,2023-02-01,C-0628,Balochistan,Electronics,In-Store,Card,4,42440.76,36228.55,6212.21,False
PK-2023-00287,2023-02-01,C-0190,Islamabad,Sports,Mobile App,Card,3,31415.53,28389.44,3026.09,False
PK-2023-00635,2023-02-01,C-0767,KPK,Home & Living,In-Store,Easypaisa,1,7226.62,5984.73,1241.89,False
PK-2023-00643,2023-02-01,C-0292,Sindh,Home & Living,Online,Card,1,9873.72,7942.57,1931.15,False
PK-2023-00988,2023-02-02,C-0102,Punjab,Home & Living,Online,Easypaisa,4,55191.71,44932.69,10259.02,False
PK-2023-01486,2023-02-02,C-0115,Islamabad,Groceries,In-Store,JazzCash,1,25297.1,20902.12,4394.98,False
PK-2023-00821,2023-02-02,C-0519,KPK,Fashion,Mobile App,Card,4,25827.74,19978.51,5849.22,False
PK-2023-01732,2023-02-02,C-0749,Balochistan,Sports,Online,Card,2,38362.35,33569.32,4793.03,False
PK-2023-01669,2023-02-02,C-0187,KPK,Fashion,Mobile App,Card,4,60463.64,49423.32,11040.33,False
PK-2023-00732,2023-02-02,C-0007,Islamabad,Fashion,Mobile App,Card,4,45558.93,36648.72,8910.21,False
PK-2023-00292,2023-02-03,C-0512,Punjab,Groceries,Wholesale,Cash on Delivery,3,33193.42,28049.21,5144.21,False
PK-2023-01139,2023-02-03,C-0040,Punjab,Beauty & Personal Care,In-Store,Easypaisa,1,12420.36,9986.65,2433.71,False
PK-2023-01157,2023-02-03,C-0332,Punjab,Electronics,In-Store,Cash on Delivery,2,10071.03,8791.44,1279.6,False
PK-2023-01309,2023-02-03,C-0707,Punjab,Home & Living,Online,Easypaisa,1,33007.61,28136.63,4870.98,False
PK-2023-00424,2023-02-03,C-0249,Punjab,Electronics,In-Store,Card,4,66907.18,54080.39,12826.79,False
PK-2023-00273,2023-02-04,C-0561,Balochistan,Groceries,Mobile App,Card,2,26773.34,24765.58,2007.76,False
PK-2023-00449,2023-02-05,C-0504,Sindh,Home & Living,In-Store,JazzCash,1,10584.99,7991.84,2593.15,False
PK-2023-00271,2023-02-05,C-0152,Islamabad,Groceries,Online,Card,1,21713.29,16962.0,4751.29,False
PK-2023-00513,2023-02-05,C-0040,Balochistan,Electronics,Online,Easypaisa,3,36261.17,30196.75,6064.42,False
PK-2023-01726,2023-02-05,C-0754,Balochistan,Beauty & Personal Care,Online,Cash on Delivery,4,23252.29,19701.56,3550.73,False
PK-2023-01244,2023-02-05,C-0681,Punjab,Fashion,In-Store,Card,3,65336.79,55047.21,10289.57,False
PK-2023-01900,2023-02-05,C-0394,Punjab,Electronics,Online,JazzCash,1,8905.48,7036.66,1868.82,False
PK-2023-00429,2023-02-06,C-0277,Punjab,Groceries,Online,Card,1,13062.39,10273.03,2789.35,False
PK-2023-01230,2023-02-07,C-0643,Punjab,Home & Living,Wholesale,Card,1,10121.5,7890.05,2231.45,False
PK-2023-01592,2023-02-07,C-0541,KPK,Fashion,Wholesale,Easypaisa,3,25805.21,20544.75,5260.46,False
PK-2023-00568,2023-02-07,C-0283,Punjab,Electronics,Mobile App,Easypaisa,3,20686.01,16568.93,4117.08,False
PK-2023-00075,2023-02-07,C-0470,Punjab,Fashion,In-Store,Card,1,21465.18,19118.82,2346.37,False
PK-2023-01394,2023-02-08,C-0413,Sindh,Electronics,In-Store,Card,1,12710.86,10281.47,2429.39,False
PK-2023-00735,2023-02-08,C-0115,Islamabad,Electronics,Online,Cash on Delivery,2,25930.47,22219.0,3711.48,False
PK-2023-01491,2023-02-08,C-0393,Punjab,Home & Living,Wholesale,JazzCash,3,28830.27,23384.32,5445.95,False
PK-2023-01001,2023-02-09,C-0087,Punjab,Beauty & Personal Care,In-Store,Card,4,58240.86,46496.2,11744.66,False
PK-2023-01402,2023-02-10,C-0376,Punjab,Beauty & Personal Care,Online,JazzCash,2,66883.94,55757.41,11126.53,False
PK-2023-00018,2023-02-10,C-0763,Sindh,Electronics,In-Store,Card,4,41031.85,33082.7,7949.16,False
PK-2023-01444,2023-02-10,C-0579,KPK,Fashion,Online,Easypaisa,2,30735.54,24168.45,6567.09,False
PK-2023-00728,2023-02-11,C-0746,Punjab,Electronics,Online,Easypaisa,2,22964.94,19268.32,3696.62,False
PK-2023-01899,2023-02-11,C-0612,Sindh,Electronics,Wholesale,Cash on Delivery,2,14683.37,12499.35,2184.02,False
PK-2023-01220,2023-02-11,C-0166,Punjab,Fashion,Online,JazzCash,1,13827.06,11879.38,1947.69,False
PK-2023-00259,2023-02-12,C-0421,Islamabad,Electronics,Mobile App,Cash on Delivery,4,63938.86,54842.83,9096.03,False
PK-2023-01156,2023-02-12,C-0569,Punjab,Fashion,In-Store,Cash on Delivery,2,19841.31,16239.17,3602.14,False
PK-2023-00681,2023-02-12,C-0044,Islamabad,Beauty & Personal Care,Mobile App,Easypaisa,2,39806.3,31950.26,7856.04,False
PK-2023-01482,2023-02-12,C-0738,Punjab,Groceries,Wholesale,Card,1,10438.11,9037.37,1400.74,False
PK-2023-01116,2023-02-13,C-0551,Islamabad,Groceries,In-Store,Cash on Delivery,3,27489.41,23063.34,4426.07,False
PK-2023-01535,2023-02-14,C-0290,Balochistan,Groceries,Online,Cash on Delivery,4,69502.89,58270.82,11232.07,False
PK-2023-01766,2023-02-14,C-0767,Sindh,Beauty & Personal Care,Online,JazzCash,3,28321.94,24305.49,4016.45,False
PK-2023-01994,2023-02-14,C-0725,Islamabad,Fashion,In-Store,Card,4,29076.75,23437.75,5639.0,False
PK-2023-00511,2023-02-15,C-0478,Sindh,Home & Living,In-Store,Card,4,43126.38,36520.96,6605.43,False
PK-2023-00917,2023-02-15,C-0297,KPK,Electronics,Online,Cash on Delivery,3,38449.02,30364.98,8084.05,False
PK-2023-01908,2023-02-15,C-0581,Sindh,Sports,In-Store,Card,4,52761.6,42593.88,10167.72,False
PK-2023-01826,2023-02-15,C-0690,Punjab,Home & Living,Online,Card,3,42244.41,34478.8,7765.61,False
PK-2023-01768,2023-02-16,C-0151,Sindh,Fashion,Online,Card,1,8925.27,7341.23,1584.05,False
PK-2023-01807,2023-02-16,C-0510,KPK,Groceries,In-Store,Card,3,41276.92,33541.87,7735.05,False
PK-2023-01966,2023-02-16,C-0169,Punjab,Electronics,In-Store,Card,3,26430.5,21077.79,5352.71,False
PK-2023-01958,2023-02-18,C-0076,Punjab,Sports,Online,Card,3,22959.97,18887.61,4072.37,False
PK-2023-01790,2023-02-18,C-0416,Sindh,Groceries,Online,Cash on Delivery,2,26795.65,22766.16,4029.49,False
PK-2023-00794,2023-02-18,C-0006,Islamabad,Others,Mobile App,Card,3,26627.27,23438.99,3188.27,False
PK-2023-01428,2023-02-18,C-0534,Balochistan,Beauty & Personal Care,Online,Easypaisa,3,18644.01,15235.26,3408.75,False
PK-2023-00548,2023-02-19,C-0048,Punjab,Electronics,Mobile App,Easypaisa,3,23613.74,20327.9,3285.84,False
PK-2023-01567,2023-02-20,C-0357,KPK,Beauty & Personal Care,Online,Card,1,5694.35,4693.8,1000.56,False
PK-2023-01376,2023-02-20,C-0627,KPK,Fashion,Online,Card,2,15091.92,12030.07,3061.85,False
PK-2023-00561,2023-02-21,C-0667,Islamabad,Home & Living,Online,Card,3,74616.57,60348.98,14267.6,False
PK-2023-00140,2023-02-21,C-0268,KPK,Beauty & Personal Care,Online,Card,4,40256.17,33196.25,7059.92,False
PK-2023-00664,2023-02-22,C-0155,Punjab,Electronics,In-Store,Cash on Delivery,3,51061.15,40026.95,11034.2,False
PK-2023-00628,2023-02-22,C-0171,Punjab,Fashion,Mobile App,Easypaisa,2,18965.34,14973.32,3992.02,False
PK-2023-00123,2023-02-22,C-0504,Balochistan,Electronics,In-Store,JazzCash,1,6509.32,5728.23,781.09,False
PK-2023-00339,2023-02-22,C-0081,Sindh,Home & Living,Online,Cash on Delivery,1,14200.34,11860.69,2339.65,False
PK-2023-00364,2023-02-23,C-0522,Islamabad,Sports,Online,Cash on Delivery,4,73597.22,61288.9,12308.32,False
PK-2023-01183,2023-02-23,C-0636,Punjab,Home & Living,In-Store,Card,3,30517.37,25443.56,5073.8,False
PK-2023-00098,2023-02-23,C-0428,Sindh,Home & Living,Mobile App,Card,3,27530.41,20893.77,6636.64,False
PK-2023-01810,2023-02-23,C-0727,KPK,Beauty & Personal Care,Online,JazzCash,4,64095.59,59050.52,5045.07,False
PK-2023-01991,2023-02-24,C-0576,Punjab,Others,Mobile App,Card,4,31050.92,26400.08,4650.84,False
PK-2023-01624,2023-02-24,C-0618,Sindh,Beauty & Personal Care,Online,Cash on Delivery,4,80951.29,66112.27,14839.02,False
PK-2023-01764,2023-02-25,C-0428,Islamabad,Electronics,Online,Card,4,74900.99,66661.2,8239.79,False
PK-2023-00413,2023-02-25,C-0745,KPK,Fashion,Online,Easypaisa,3,28643.31,22440.93,6202.38,False
PK-2023-00086,2023-02-25,C-0764,Islamabad,Electronics,In-Store,Easypaisa,4,38075.32,30698.57,7376.75,False
PK-2023-01456,2023-02-25,C-0665,Sindh,Beauty & Personal Care,Mobile App,Card,2,11037.82,9514.79,1523.04,False
PK-2023-01427,2023-02-25,C-0678,Islamabad,Electronics,Wholesale,Cash on Delivery,1,13988.54,11232.94,2755.6,False
PK-2023-01170,2023-02-26,C-0751,Punjab,Home & Living,Online,Easypaisa,4,23379.82,19272.3,4107.52,False
PK-2023-00455,2023-02-26,C-0090,Sindh,Groceries,Mobile App,Card,1,12444.5,9989.21,2455.28,False
PK-2023-01041,2023-02-26,C-0154,Punjab,Fashion,Mobile App,Easypaisa,2,18046.81,15077.43,2969.38,False
PK-2023-01408,2023-02-27,C-0078,Punjab,Electronics,Mobile App,Card,2,17481.99,14050.7,3431.29,False
PK-2023-00188,2023-02-27,C-0103,Punjab,Home & Living,Online,Card,4,47530.98,39009.09,8521.89,False
PK-2023-00350,2023-02-27,C-0329,Balochistan,Electronics,In-Store,Card,1,5293.87,4410.61,883.26,False
PK-2023-00845,2023-02-27,C-0318,Sindh,Electronics,Mobile App,Card,3,40751.03,35029.44,5721.59,False
PK-2023-01707,2023-02-27,C-0172,Islamabad,Fashion,Online,Card,3,35594.66,28588.33,7006.33,False
PK-2023-01297,2023-02-27,C-0298,Islamabad,Groceries,In-Store,Card,2,50737.61,42845.56,7892.05,False
PK-2023-00005,2023-02-27,C-0284,Sindh,Electronics,Online,Easypaisa,4,48868.51,43204.81,5663.7,False
PK-2023-00337,2023-02-28,C-0056,Punjab,Beauty & Personal Care,Online,Card,4,41475.68,32729.48,8746.21,False
PK-2023-01133,2023-02-28,C-0501,Punjab,Electronics,Online,Easypaisa,3,23679.96,19612.53,4067.43,False
PK-2023-00109,2023-02-28,C-0670,Islamabad,Fashion,Online,JazzCash,4,51268.13,42003.66,9264.47,False
PK-2023-01153,2023-02-28,C-0048,Sindh,Fashion,Wholesale,JazzCash,3,19995.53,17692.36,2303.17,False
PK-2023-01836,2023-02-28,C-0436,Punjab,Fashion,Online,Card,1,18875.84,15516.07,3359.77,False
PK-2023-01371,2023-02-28,C-0207,Punjab,Sports,Online,Cash on Delivery,3,26904.3,20806.75,6097.55,False
PK-2023-00921,2023-03-01,C-0768,Sindh,Others,In-Store,Card,1,6829.77,5572.1,1257.67,False
PK-2023-01642,2023-03-01,C-0137,KPK,Electronics,Wholesale,Easypaisa,2,22231.39,18065.95,4165.45,False
PK-2023-00869,2023-03-02,C-0511,Sindh,Sports,Mobile App,JazzCash,4,44605.28,36806.72,7798.56,False
PK-2023-01236,2023-03-02,C-0082,Sindh,Electronics,In-Store,Card,3,27864.39,23656.84,4207.54,False
PK-2023-00294,2023-03-02,C-0264,Sindh,Fashion,Wholesale,Card,2,42159.72,32706.09,9453.63,False
PK-2023-01251,2023-03-02,C-0697,Sindh,Others,Mobile App,Card,4,78247.89,62528.74,15719.15,False
PK-2023-00894,2023-03-02,C-0759,Punjab,Home & Living,Online,Card,2,33301.51,27341.75,5959.76,False
PK-2023-00940,2023-03-02,C-0440,Punjab,Electronics,Online,JazzCash,2,51344.75,44766.05,6578.7,True
PK-2023-00290,2023-03-03,C-0162,Sindh,Fashion,In-Store,JazzCash,3,25046.72,21463.24,3583.48,False
PK-2023-00718,2023-03-03,C-0153,Sindh,Others,In-Store,Card,4,46938.42,39732.37,7206.06,False
PK-2023-01341,2023-03-03,C-0400,Punjab,Fashion,Mobile App,Card,1,12372.84,10037.09,2335.75,False
PK-2023-01278,2023-03-04,C-0379,KPK,Home & Living,Mobile App,Cash on Delivery,3,23028.76,18409.23,4619.54,False
PK-2023-00725,2023-03-04,C-0731,Punjab,Electronics,Online,Cash on Delivery,2,18795.49,15325.5,3469.98,False
PK-2023-00129,2023-03-04,C-0272,KPK,Electronics,Mobile App,Card,2,20356.6,16035.93,4320.67,False
PK-2023-01936,2023-03-04,C-0155,Sindh,Electronics,Online,Card,2,19678.73,17402.52,2276.21,False
PK-2023-00583,2023-03-05,C-0499,Balochistan,Electronics,In-Store,Cash on Delivery,4,37554.13,29022.53,8531.6,False
PK-2023-00230,2023-03-05,C-0096,Punjab,Groceries,Online,Card,1,10066.61,8656.38,1410.23,False
PK-2023-00258,2023-03-05,C-0742,Sindh,Beauty & Personal Care,Online,Card,3,136111.58,112491.9,23619.69,False
PK-2023-00865,2023-03-05,C-0741,KPK,Fashion,Mobile App,Card,2,46839.62,37110.4,9729.22,False
PK-2023-00161,2023-03-06,C-0636,Sindh,Fashion,In-Store,JazzCash,3,51108.7,43365.17,7743.54,False
PK-2023-00409,2023-03-06,C-0592,Balochistan,Fashion,Mobile App,Easypaisa,4,84731.57,68187.44,16544.13,False
PK-2023-01252,2023-03-06,C-0708,Punjab,Home & Living,Mobile App,Card,1,18726.37,15709.54,3016.83,False
PK-2023-01473,2023-03-06,C-0084,Islamabad,Home & Living,Online,JazzCash,4,55014.05,45094.85,9919.2,False
PK-2023-00240,2023-03-07,C-0312,KPK,Home & Living,Mobile App,JazzCash,3,42108.66,36661.82,5446.84,False
PK-2023-00636,2023-03-07,C-0506,Punjab,Fashion,Online,Card,4,86691.41,72469.19,14222.22,False
PK-2023-01575,2023-03-07,C-0203,Punjab,Fashion,Online,Easypaisa,1,6755.94,5567.62,1188.32,False
PK-2023-00155,2023-03-07,C-0151,Sindh,Home & Living,Online,Card,4,33508.71,25777.69,7731.02,False
PK-2023-01122,2023-03-08,C-0240,Punjab,Fashion,Online,Card,2,16305.69,13310.26,2995.44,False
PK-2023-00908,2023-03-08,C-0754,Punjab,Electronics,In-Store,JazzCash,4,61253.74,50149.98,11103.76,False
PK-2023-00733,2023-03-08,C-0396,Punjab,Home & Living,In-Store,Card,4,51074.15,43234.69,7839.47,False
PK-2023-00769,2023-03-08,C-0402,Punjab,Beauty & Personal Care,In-Store,Card,3,32084.24,26293.05,5791.19,False
PK-2023-00404,2023-03-08,C-0301,Punjab,Sports,Mobile App,Easypaisa,4,48631.52,41872.32,6759.2,True
PK-2023-01517,2023-03-08,C-0265,Punjab,Home & Living,In-Store,Card,1,8936.34,6934.02,2002.32,False
PK-2023-00742,2023-03-09,C-0753,Punjab,Beauty & Personal Care,Online,Cash on Delivery,2,14545.81,11625.42,2920.38,False
PK-2023-01107,2023-03-10,C-0658,Punjab,Fashion,Mobile App,Card,3,29310.31,23485.44,5824.87,False
PK-2023-00060,2023-03-10,C-0201,KPK,Electronics,In-Store,Cash on Delivery,3,56284.63,48618.52,7666.1,False
PK-2023-01253,2023-03-10,C-0226,Punjab,Electronics,In-Store,Easypaisa,4,52045.98,43196.24,8849.74,False
PK-2023-00269,2023-03-10,C-0764,KPK,Groceries,Online,Cash on Delivery,4,48289.71,37081.41,11208.3,False
PK-2023-00608,2023-03-10,C-0602,Punjab,Electronics,Online,Card,2,15660.65,12554.64,3106.01,False
PK-2023-00363,2023-03-11,C-0496,KPK,Home & Living,Mobile App,Card,4,29675.32,23771.16,5904.16,False
PK-2023-01393,2023-03-11,C-0007,Islamabad,Others,Online,Card,1,22989.14,19302.76,3686.39,False
PK-2023-00510,2023-03-11,C-0077,Punjab,Groceries,Mobile App,JazzCash,3,44546.16,38244.54,6301.62,False
PK-2023-00525,2023-03-12,C-0123,KPK,Sports,Online,Easypaisa,4,65879.24,50857.68,15021.56,False
PK-2023-00389,2023-03-12,C-0455,KPK,Groceries,Wholesale,Easypaisa,4,43564.34,37842.14,5722.21,False
PK-2023-00973,2023-03-12,C-0357,Punjab,Electronics,Online,Card,3,30965.33,24764.2,6201.13,False
PK-2023-01350,2023-03-12,C-0731,Punjab,Fashion,Online,Card,1,11460.01,8577.67,2882.34,False
PK-2023-01182,2023-03-12,C-0138,Punjab,Electronics,Online,Easypaisa,3,49072.41,40761.52,8310.9,False
PK-2023-00099,2023-03-12,C-0106,KPK,Electronics,Mobile App,JazzCash,2,41429.31,32940.96,8488.35,False
PK-2023-00473,2023-03-12,C-0524,KPK,Groceries,Wholesale,Card,4,82729.35,68397.63,14331.72,False
PK-2023-01685,2023-03-12,C-0024,Sindh,Electronics,Online,Easypaisa,2,19483.18,16156.07,3327.11,False
